"date","PM25","city"
"2017-03-25",202624,"puerto_montt"
"2017-03-26",856921,"puerto_montt"
"2017-03-27",176083,"puerto_montt"
"2017-03-28",530623,"puerto_montt"
"2017-03-29",313702,"puerto_montt"
"2017-03-30",320439,"puerto_montt"
"2017-03-31",325746,"puerto_montt"
"2017-04-01",335924,"puerto_montt"
"2017-04-02",111541,"puerto_montt"
"2017-04-03",182365,"puerto_montt"
"2017-04-04",275666,"puerto_montt"
"2017-04-05",171551,"puerto_montt"
"2017-04-06",331994,"puerto_montt"
"2017-04-07",262199,"puerto_montt"
"2017-04-08",470197,"puerto_montt"
"2017-04-09",421091,"puerto_montt"
"2017-04-10",170032,"puerto_montt"
"2017-04-11",552541,"puerto_montt"
"2017-04-12",110567,"puerto_montt"
"2017-04-13",368442,"puerto_montt"
"2017-04-14",146854,"puerto_montt"
"2017-04-15",539277,"puerto_montt"
"2017-04-16",554913,"puerto_montt"
"2017-04-17",341262,"puerto_montt"
"2017-04-18",214112,"puerto_montt"
"2017-04-19",184165,"puerto_montt"
"2017-04-20",187315,"puerto_montt"
"2017-04-21",256195,"puerto_montt"
"2017-04-22",447957,"puerto_montt"
"2017-04-23",414331,"puerto_montt"
"2017-04-24",27867,"puerto_montt"
"2017-04-25",352057,"puerto_montt"
"2017-04-26",234586,"puerto_montt"
"2017-04-27",229139,"puerto_montt"
"2017-04-28",675326,"puerto_montt"
"2017-04-29",312173,"puerto_montt"
"2017-04-30",123518,"puerto_montt"
"2017-05-01",12,"puerto_montt"
"2017-05-02",100,"puerto_montt"
"2017-05-03",13,"puerto_montt"
"2017-05-04",15,"puerto_montt"
"2017-05-05",9,"puerto_montt"
"2017-05-06",12,"puerto_montt"
"2017-05-07",23,"puerto_montt"
"2017-05-08",40,"puerto_montt"
"2017-05-09",35,"puerto_montt"
"2017-05-10",98,"puerto_montt"
"2017-05-11",64,"puerto_montt"
"2017-05-12",21,"puerto_montt"
"2017-05-13",8,"puerto_montt"
"2017-05-14",22,"puerto_montt"
"2017-05-15",11,"puerto_montt"
"2017-05-16",10,"puerto_montt"
"2017-05-17",45,"puerto_montt"
"2017-05-18",96,"puerto_montt"
"2017-05-19",76,"puerto_montt"
"2017-05-20",11,"puerto_montt"
"2017-05-21",29,"puerto_montt"
"2017-05-22",50,"puerto_montt"
"2017-05-23",183,"puerto_montt"
"2017-05-24",165,"puerto_montt"
"2017-05-25",167,"puerto_montt"
"2017-05-27",120,"puerto_montt"
"2017-05-28",45,"puerto_montt"
"2017-05-29",64,"puerto_montt"
"2017-05-30",40,"puerto_montt"
"2017-05-31",89,"puerto_montt"
"2017-06-01",36,"puerto_montt"
"2017-06-02",24,"puerto_montt"
"2017-06-03",49,"puerto_montt"
"2017-06-04",80,"puerto_montt"
"2017-06-05",32,"puerto_montt"
"2017-06-06",16,"puerto_montt"
"2017-06-07",39,"puerto_montt"
"2017-06-08",30,"puerto_montt"
"2017-06-09",24,"puerto_montt"
"2017-06-10",71,"puerto_montt"
"2017-06-11",63,"puerto_montt"
"2017-06-12",31,"puerto_montt"
"2017-06-13",51,"puerto_montt"
"2017-06-14",22,"puerto_montt"
"2017-06-15",7,"puerto_montt"
"2017-06-16",30,"puerto_montt"
"2017-06-17",145,"puerto_montt"
"2017-06-18",163,"puerto_montt"
"2017-06-19",294,"puerto_montt"
"2017-06-20",18,"puerto_montt"
"2017-06-21",9,"puerto_montt"
"2017-06-22",33,"puerto_montt"
"2017-06-23",101,"puerto_montt"
"2017-06-24",35,"puerto_montt"
"2017-06-25",30,"puerto_montt"
"2017-06-26",17,"puerto_montt"
"2017-06-27",52,"puerto_montt"
"2017-06-28",38,"puerto_montt"
"2017-06-29",63,"puerto_montt"
"2017-06-30",23,"puerto_montt"
"2017-07-01",59,"puerto_montt"
"2017-07-02",28,"puerto_montt"
"2017-07-03",66,"puerto_montt"
"2017-07-04",171,"puerto_montt"
"2017-07-05",49,"puerto_montt"
"2017-07-06",95,"puerto_montt"
"2017-07-07",105,"puerto_montt"
"2017-07-08",36,"puerto_montt"
"2017-07-09",55,"puerto_montt"
"2017-07-10",65,"puerto_montt"
"2017-07-11",218,"puerto_montt"
"2017-07-12",40,"puerto_montt"
"2017-07-13",30,"puerto_montt"
"2017-07-14",36,"puerto_montt"
"2017-07-15",61,"puerto_montt"
"2017-07-16",82,"puerto_montt"
"2017-07-17",165,"puerto_montt"
"2017-07-18",113,"puerto_montt"
"2017-07-19",17,"puerto_montt"
"2017-07-20",35,"puerto_montt"
"2017-07-21",16,"puerto_montt"
"2017-07-22",18,"puerto_montt"
"2017-07-23",22,"puerto_montt"
"2017-07-24",22,"puerto_montt"
"2017-07-25",18,"puerto_montt"
"2017-07-26",9,"puerto_montt"
"2017-07-27",21,"puerto_montt"
"2017-07-28",27,"puerto_montt"
"2017-07-29",23,"puerto_montt"
"2017-07-30",18,"puerto_montt"
"2017-07-31",9,"puerto_montt"
"2017-08-01",43,"puerto_montt"
"2017-08-02",75,"puerto_montt"
"2017-08-03",51,"puerto_montt"
"2017-08-04",36,"puerto_montt"
"2017-08-05",13,"puerto_montt"
"2017-08-06",34,"puerto_montt"
"2017-08-07",25,"puerto_montt"
"2017-08-08",11,"puerto_montt"
"2017-08-09",14,"puerto_montt"
"2017-08-10",25,"puerto_montt"
"2017-08-11",20,"puerto_montt"
"2017-08-12",19,"puerto_montt"
